"","rank","film_title","release_date","sales","audience_seoul","audience","screens_seoul","screens","production_main","production_all","film_distribution","year","month"
"1",1,"명량",2014-07-30,135748398910,NA,17613682,NA,1587,"Korea","Korea","씨제이이앤엠(주)",2014,7
"2",2,"극한직업",2019-01-23,139647979516,NA,16264944,NA,1978,"Korea","Korea","씨제이이앤엠(주)",2019,1
"3",3,"신과함께-죄와 벌",2017-12-20,115698654137,NA,14410754,NA,1912,"Korea","Korea","롯데쇼핑㈜롯데엔터테인먼트",2017,12
"4",4,"국제시장",2014-12-17,110913469630,NA,14257115,NA,966,"Korea","Korea","씨제이이앤엠(주)",2014,12
"5",5,"어벤져스: 엔드게임",2019-04-24,122182694160,NA,13934592,NA,2835,"US","US","월트디즈니컴퍼니코리아 유한책임회사",2019,4
"6",6,"겨울왕국 2",2019-11-21,114803770600,NA,13746532,NA,2648,"US","US","월트디즈니컴퍼니코리아 유한책임회사",2019,11
"7",7,"아바타",2009-12-17,128447097523,NA,13624328,NA,912,"US","US","주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",2009,12
"8",8,"베테랑",2015-08-05,105168155250,NA,13414009,NA,1064,"Korea","Korea","씨제이이앤엠(주)",2015,8
"9",9,"괴물",2006-07-27,0,NA,13019740,"S",167,"Korea","Korea","(주)쇼박스",2006,7
"10",10,"도둑들",2012-07-25,93665568500,NA,12983330,NA,1072,"Korea","Korea, Hong Kong","(주)쇼박스",2012,7
"11",11,"7번방의 선물",2013-01-23,91431914670,NA,12811206,NA,787,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2013,1
"12",12,"암살",2015-07-22,98463132781,NA,12705700,NA,1519,"Korea","Korea","(주)쇼박스",2015,7
"13",13,"알라딘",2019-05-23,106983620359,NA,12555894,NA,1311,"US","US","월트디즈니컴퍼니코리아 유한책임회사",2019,5
"14",14,"광해, 왕이 된 남자",2012-09-13,88900208769,NA,12319542,NA,810,"Korea","Korea","씨제이이앤엠(주)",2012,9
"15",15,"왕의 남자",2005-12-29,0,NA,12302831,"S",94,"Korea","Korea","(주)시네마서비스",2005,12
"16",16,"신과함께-인과 연",2018-08-01,102666146909,NA,12274996,NA,2235,"Korea","Korea","롯데컬처웍스(주)롯데엔터테인먼트",2018,8
"17",17,"택시운전사",2017-08-02,95855737149,NA,12186684,NA,1906,"Korea","Korea","(주)쇼박스",2017,8
"18",18,"태극기 휘날리며",2004-02-05,0,NA,11746135,"S",110,"Korea","Korea","(주)쇼박스",2004,2
"19",19,"부산행",2016-07-20,93178283048,NA,11565479,NA,1788,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2016,7
"20",20,"해운대",2009-07-22,81934638201,NA,11453338,NA,753,"Korea","Korea","씨제이엔터테인먼트",2009,7
"21",21,"변호인",2013-12-18,82871759300,NA,11374610,NA,923,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2013,12
"22",22,"어벤져스: 인피니티 워",2018-04-25,99919006769,NA,11211880,NA,2553,"US","US","월트디즈니컴퍼니코리아 유한책임회사",2018,4
"23",23,"실미도",2003-12-24,0,NA,11081000,"S",83,"Korea","Korea","(주)시네마서비스",2003,12
"24",24,"어벤져스: 에이지 오브 울트론",2015-04-23,88582586366,NA,10494499,NA,1843,"US","US","월트디즈니컴퍼니코리아(주)",2015,4
"25",25,"겨울왕국",2014-01-16,82461504400,NA,10296101,NA,1010,"US","US","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2014,1
"26",26,"기생충",2019-05-30,87224912275,NA,10283765,NA,1948,"Korea","Korea","씨제이이앤엠(주)",2019,5
"27",27,"인터스텔라",2014-11-06,82291089200,NA,10275484,NA,1342,"US","US, UK","워너브러더스 코리아(주)",2014,11
"28",28,"보헤미안 랩소디",2018-10-31,86280975785,NA,9948386,NA,936,"US","US","이십세기폭스코리아(주)",2018,10
"29",29,"검사외전",2016-02-03,77319445264,NA,9707158,NA,1812,"Korea","Korea","(주)쇼박스",2016,2
"30",30,"엑시트",2019-07-31,79232212162,NA,9426051,NA,1660,"Korea","Korea","씨제이이앤엠(주)",2019,7
"31",31,"설국열차",2013-08-01,67010077500,NA,9349991,NA,1128,"Korea","Korea, Czech","씨제이이앤엠(주)",2013,8
"32",32,"관상",2013-09-11,66005451500,NA,9134586,NA,1190,"Korea","Korea","(주)쇼박스",2013,9
"33",33,"아이언맨 3",2013-04-25,70806191000,NA,9001309,NA,1381,"US","US","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2013,4
"34",34,"캡틴 아메리카: 시빌 워",2016-04-27,72672111827,NA,8677249,NA,1991,"US","US","월트디즈니컴퍼니코리아(주)",2016,4
"35",35,"해적: 바다로 간 산적",2014-08-06,66370682706,NA,8666046,NA,838,"Korea","Korea","롯데쇼핑㈜롯데엔터테인먼트",2014,8
"36",36,"수상한 그녀",2014-01-22,62696639249,NA,8656397,NA,692,"Korea","Korea","씨제이이앤엠(주)",2014,1
"37",37,"국가대표",2009-07-29,60896633308,NA,8487894,NA,580,"Korea","Korea","(주)쇼박스",2009,7
"38",38,"디워",2007-08-01,0,NA,8426973,"S",148,"Korea","Korea","(주)쇼박스",2007,8
"39",39,"백두산",2019-12-19,69818845600,NA,8252001,NA,1971,"Korea","Korea","씨제이이앤엠(주),(주)덱스터스튜디오",2019,12
"40",40,"과속스캔들",2008-12-03,53940101534,NA,8245523,NA,405,"Korea","Korea","롯데쇼핑㈜롯데엔터테인먼트",2008,12
"41",41,"스파이더맨: 파 프롬 홈",2019-07-02,69009271100,NA,8021064,NA,2142,"US","US","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2019,7
"42",42,"웰컴 투 동막골",2005-08-04,0,NA,8008622,"S",114,"Korea","Korea","(주)쇼박스",2005,8
"43",43,"공조",2017-01-18,63781731326,NA,7817446,NA,976,"Korea","Korea","씨제이이앤엠(주)",2017,1
"44",44,"트랜스포머 3",2011-06-29,74841350500,NA,7784807,NA,1409,"US","US","씨제이이앤엠(주)",2011,6
"45",45,"히말라야",2015-12-16,60173583015,NA,7759473,NA,1009,"Korea","Korea","씨제이이앤엠(주)",2015,12
"46",46,"미션임파서블:고스트프로토콜",2011-12-15,57795846000,NA,7575899,NA,1038,"US","US","씨제이이앤엠(주)",2011,12
"47",47,"트랜스포머: 패자의 역습",2009-06-24,51478531663,NA,7505700,NA,1129,"US","US","씨제이엔터테인먼트",2009,6
"48",48,"밀정",2016-09-07,61269783831,NA,7500420,NA,1444,"Korea","Korea, US","워너브러더스 코리아(주)",2016,9
"49",49,"최종병기 활",2011-08-10,55827861500,NA,7470633,NA,615,"Korea","Korea","롯데쇼핑㈜롯데엔터테인먼트",2011,8
"50",50,"트랜스포머",2007-06-28,0,NA,7440531,"S",160,"US","US","씨제이엔터테인먼트",2007,6
"51",51,"써니",2011-05-04,54034235100,NA,7362467,NA,472,"Korea","Korea","씨제이이앤엠(주)",2011,5
"52",52,"화려한 휴가",2007-07-25,0,NA,7307993,"S",116,"Korea","Korea","씨제이엔터테인먼트",2007,7
"53",53,"스파이더맨: 홈 커밍",2017-07-05,59125813820,NA,7258678,NA,1965,"US","US","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017,7
"54",54,"1987",2017-12-27,58165581145,NA,7231638,NA,1299,"Korea","Korea","씨제이이앤엠(주)",2017,12
"55",55,"베를린",2013-01-30,52354931637,NA,7166199,NA,894,"Korea","Korea, Germany","씨제이이앤엠(주)",2013,1
"56",56,"마스터",2016-12-21,58067927865,NA,7150541,NA,1501,"Korea","Korea","씨제이이앤엠(주)",2016,12
"57",57,"터널",2016-08-10,57529484417,NA,7120508,NA,1105,"Korea","Korea","(주)쇼박스",2016,8
"58",58,"어벤져스",2012-04-26,59557853478,NA,7074867,NA,967,"US","US","한국소니픽쳐스릴리징브에나비스타영화㈜",2012,4
"59",59,"내부자들",2015-11-19,56598130057,NA,7072021,NA,1075,"Korea","Korea","(주)쇼박스",2015,11
"60",60,"인천상륙작전",2016-07-27,55101410303,NA,7049643,NA,1049,"Korea","Korea","씨제이이앤엠(주)",2016,7
"61",61,"럭키",2016-10-13,56444461256,NA,6975290,NA,1158,"Korea","Korea","(주)쇼박스",2016,10
"62",62,"은밀하게 위대하게",2013-06-05,48700887413,NA,6959083,NA,1341,"Korea","Korea","(주)쇼박스",2013,6
"63",63,"곡성",2016-05-12,55863520382,NA,6879908,NA,1485,"Korea","Korea, US","이십세기폭스코리아(주)",2016,5
"64",64,"범죄도시",2017-10-03,56318014149,NA,6879841,NA,1315,"Korea","Korea","메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017,10
"65",65,"타짜",2006-09-28,0,NA,6847777,"S",147,"Korea","Korea","씨제이엔터테인먼트",2006,9
"66",66,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,43768628939,NA,6686912,NA,825,"Korea","Korea","씨제이엔터테인먼트",2008,7
"67",67,"늑대소년",2012-10-31,46593107500,NA,6654837,NA,706,"Korea","Korea","씨제이이앤엠(주)",2012,10
"68",68,"미녀는 괴로워",2006-12-14,0,NA,6619498,"S",93,"Korea","Korea","(주)쇼박스",2006,12
"69",69,"군함도",2017-07-26,50510565168,NA,6592151,NA,2027,"Korea","Korea","씨제이이앤엠(주)",2017,7
"70",70,"미션 임파서블: 폴아웃",2018-07-25,55888375112,NA,6584915,NA,1957,"US","US","롯데컬처웍스(주)롯데엔터테인먼트",2018,7
"71",71,"다크 나이트 라이즈",2012-07-19,47644838000,NA,6396528,NA,1210,"US","US, UK","워너브러더스 코리아(주)",2012,7
"72",72,"아저씨",2010-08-04,47870792359,NA,6282774,NA,478,"Korea","Korea","씨제이엔터테인먼트",2010,8
"73",73,"사도",2015-09-16,48842902501,NA,6246849,NA,1210,"Korea","Korea","(주)쇼박스",2015,9
"74",74,"전우치",2009-12-23,44605437017,NA,6136928,NA,606,"Korea","Korea","씨제이엔터테인먼트",2009,12
"75",75,"킹스맨 : 시크릿 에이전트",2015-02-11,50369009795,NA,6129681,NA,706,"US","US, UK","이십세기폭스코리아(주)",2015,2
"76",76,"미션 임파서블: 로그네이션",2015-07-30,48547353607,NA,6126488,NA,1202,"US","US","롯데쇼핑㈜롯데엔터테인먼트",2015,7
"77",77,"투사부일체",2006-01-19,0,NA,6105431,"S",93,"Korea","Korea","씨제이엔터테인먼트",2006,1
"78",78,"연평해전",2015-06-24,45563228330,NA,6043784,NA,1013,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2015,6
"79",79,"반지의 제왕 : 왕의 귀환",2003-12-17,0,NA,5960000,"S",105,"US","US, New Zealand","씨제이엔터테인먼트",2003,12
"80",80,"인셉션",2010-07-21,44106546302,NA,5926948,NA,528,"US","US","(주)디스테이션,워너브러더스 코리아(주)",2010,7
"81",81,"레미제라블",2012-12-19,43044999000,NA,5911890,NA,696,"US","US","유니버설픽쳐스인터내셔널 코리아(유)",2012,12
"82",82,"쉬리",1999-02-13,0,NA,5820000,NA,0,"Korea","Korea","삼성픽쳐스",1999,2
"83",83,"캡틴 마블",2019-03-06,51491272223,NA,5801069,NA,2100,"US","US","월트디즈니컴퍼니코리아 유한책임회사",2019,3
"84",84,"미션 임파서블 3",2006-05-03,0,NA,5740789,"S",134,"US","US","UIP코리아",2006,5
"85",85,"쥬라기 월드: 폴른 킹덤",2018-06-06,49770711037,NA,5661128,NA,1972,"US","US","유니버설픽쳐스인터내셔널 코리아(유)",2018,6
"86",86,"청년경찰",2017-08-09,44381150516,NA,5653270,NA,1102,"Korea","Korea","롯데쇼핑㈜롯데엔터테인먼트",2017,8
"87",87,"가문의 위기(가문의 영광2)",2005-09-07,0,NA,5635266,"S",101,"Korea","Korea","(주)쇼박스",2005,9
"88",88,"숨바꼭질",2013-08-14,39602987500,NA,5604104,NA,779,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2013,8
"89",89,"덕혜옹주",2016-08-03,44393828109,NA,5599229,NA,964,"Korea","Korea","롯데쇼핑㈜롯데엔터테인먼트",2016,8
"90",90,"더 테러 라이브",2013-07-31,39866712881,NA,5583596,NA,743,"Korea","Korea","롯데쇼핑㈜롯데엔터테인먼트",2013,7
"91",91,"쥬라기 월드",2015-06-11,47800698826,NA,5546792,NA,1290,"US","US","유니버설픽쳐스인터내셔널 코리아(유)",2015,6
"92",92,"감시자들",2013-07-03,39380162179,NA,5508017,NA,949,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2013,7
"93",93,"의형제",2010-02-04,40800867602,NA,5507106,NA,572,"Korea","Korea","(주)쇼박스",2010,2
"94",94,"2012",2009-11-12,39415166660,NA,5462953,NA,789,"US","US","한국소니픽쳐스릴리징브에나비스타영화㈜",2009,11
"95",95,"앤트맨과 와스프",2018-07-04,47465443185,NA,5447826,NA,1775,"US","US","월트디즈니컴퍼니코리아 유한책임회사",2018,7
"96",96,"닥터 스트레인지",2016-10-26,47482530396,NA,5446379,NA,1503,"US","US","월트디즈니컴퍼니코리아(주)",2016,10
"97",97,"검은 사제들",2015-11-05,42407832092,NA,5442553,NA,1088,"Korea","Korea","씨제이이앤엠(주)",2015,11
"98",98,"안시성",2018-09-19,46335334026,NA,5440186,NA,1540,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2018,9
"99",99,"블랙 팬서",2018-02-14,45883143457,NA,5398994,NA,1620,"US","US","월트디즈니컴퍼니코리아 유한책임회사",2018,2
"100",100,"더 킹",2017-01-18,43486078535,NA,5316325,NA,1310,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2017,1
"101",101,"완득이",2011-10-20,38530503500,NA,5310510,NA,500,"Korea","Korea","씨제이이앤엠(주)",2011,10
"102",102,"트랜스포머: 사라진 시대",2014-06-25,44012272845,NA,5295801,NA,1602,"US","US","씨제이이앤엠(주)",2014,6
"103",103,"완벽한 타인",2018-10-31,44356752474,NA,5294119,NA,1313,"Korea","Korea","롯데컬처웍스(주)롯데엔터테인먼트",2018,10
"104",104,"살인의 추억",2003-04-25,NA,NA,5255376,"S",54,"Korea","Korea","씨제이엔터테인먼트",2003,4
"105",105,"조커",2019-10-02,45422346630,NA,5253230,NA,1418,"US","US","워너브러더스 코리아(주)",2019,10
"106",106,"월드 워 Z",2013-06-20,38555357000,NA,5237525,NA,964,"US","US","롯데쇼핑㈜롯데엔터테인먼트",2013,6
"107",107,"반지의 제왕 : 두개의 탑",2002-12-19,0,NA,5183000,"S",79,"US","US","(주)시네마서비스",2002,12
"108",108,"타워",2012-12-25,37654858000,NA,5181014,NA,617,"Korea","Korea","씨제이이앤엠(주)",2012,12
"109",109,"말아톤",2005-01-27,0,NA,5148022,"S",73,"Korea","Korea","(주)쇼박스",2005,1
"110",110,"미녀와 야수",2017-03-16,42132589579,NA,5138193,NA,1627,"US","US","월트디즈니컴퍼니코리아 유한책임회사",2017,3
"111",111,"추격자",2008-02-14,33943278500,NA,5071619,NA,435,"Korea","Korea","(주)쇼박스",2008,2
"112",112,"독전",2018-05-22,43484892913,NA,5063620,NA,1357,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2018,5
"113",113,"쿵푸팬더 2",2011-05-26,44298724500,NA,5062722,NA,948,"US","US","씨제이이앤엠(주)",2011,5
"114",114,"아쿠아맨",2018-12-19,44113456704,NA,5038134,NA,1285,"US","US, Australia","워너브러더스 코리아(주)",2018,12
"115",115,"공작",2018-08-08,42788691176,NA,4974512,NA,1317,"Korea","Korea","씨제이이앤엠(주)",2018,8
"116",116,"인사이드 아웃",2015-07-09,38024694936,NA,4969735,NA,777,"US","US","월트디즈니컴퍼니코리아(주)",2015,7
"117",117,"캐리비안의 해적: 세상의 끝에서",2007-05-23,0,NA,4966571,"S",244,"US","US","한국소니픽쳐스릴리징브에나비스타영화㈜",2007,5
"118",118,"킹스맨: 골든 서클",2017-09-27,40987484736,NA,4945484,NA,1687,"US","US, UK","이십세기폭스코리아(주)",2017,9
"119",119,"동갑내기 과외하기",2003-02-07,NA,NA,4937573,"S",54,"Korea","Korea","씨제이엔터테인먼트",2003,2
"120",120,"스파이더맨 3",2007-05-01,0,NA,4935660,"S",198,"US","US","한국소니픽쳐스릴리징브에나비스타영화㈜",2007,5
"121",121,"바람과 함께 사라지다",2012-08-08,34614661161,NA,4909937,NA,694,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2012,8
"122",122,"마션",2015-10-08,39663145295,NA,4880800,NA,1132,"US","US","이십세기폭스코리아(주)",2015,10
"123",123,"토르: 라그나로크",2017-10-25,39248432595,NA,4857152,NA,1640,"US","US","월트디즈니컴퍼니코리아 유한책임회사",2017,10
"124",124,"어메이징 스파이더맨",2012-06-28,41163951235,NA,4853123,NA,1118,"US","US","한국소니픽쳐스릴리징브에나비스타영화㈜",2012,6
"125",125,"님아, 그 강을 건너지 마오",2014-11-27,37355277679,NA,4801527,NA,206,"Korea","Korea","CGV아트하우스,(주)대명문화공장",2014,11
"126",126,"봉오동 전투",2019-08-07,40588648538,NA,4787538,NA,1476,"Korea","Korea","(주)쇼박스",2019,8
"127",127,"조선명탐정 : 각시투구꽃의 비밀",2011-01-27,35841769500,NA,4786259,NA,611,"Korea","Korea","(주)쇼박스",2011,1
"128",128,"군도: 민란의 시대",2014-07-23,36987755999,NA,4774895,NA,1394,"Korea","Korea","(주)쇼박스",2014,7
"129",129,"남산의 부장들",2020-01-22,41218101130,NA,4749391,NA,1659,"Korea","Korea","(주)쇼박스",2020,1
"130",130,"라이온 킹",2019-07-17,41518977430,NA,4743184,NA,1936,"US","US","월트디즈니컴퍼니코리아 유한책임회사",2019,7
"131",131,"범죄와의 전쟁: 나쁜놈들 전성시대",2012-02-02,36538823500,NA,4719872,NA,699,"Korea","Korea","(주)쇼박스",2012,2
"132",132,"주토피아",2016-02-17,37077444042,NA,4703245,NA,661,"US","US","월트디즈니컴퍼니코리아(주)",2016,2
"133",133,"엣지 오브 투모로우",2014-06-04,38731398201,NA,4699208,NA,801,"US","US","워너브러더스 코리아(주)",2014,6
"134",134,"신세계",2013-02-21,34881330905,NA,4682492,NA,671,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2013,2
"135",135,"쿵푸 팬더",2008-06-05,30000965000,NA,4673009,NA,351,"US","US","씨제이엔터테인먼트",2008,6
"136",136,"신비한 동물사전",2016-11-16,39337263058,NA,4666993,NA,1431,"US","US, UK","워너브러더스 코리아(주)",2016,11
"137",137,"도가니",2011-09-22,35566854800,NA,4662822,NA,644,"Korea","Korea","씨제이이앤엠(주)",2011,9
"138",138,"캐리비안의 해적 : 망자의 함",2006-07-06,0,NA,4628903,"S",129,"US","US","브에나비스타인터내셔널코리아",2006,7
"139",139,"박물관이 살아있다!",2006-12-21,0,NA,4612831,"S",86,"US","US","이십세기폭스코리아(주)",2006,12
"140",140,"내 아내의 모든 것",2012-05-17,34222160500,NA,4598583,NA,563,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2012,5
"141",141,"판도라",2016-12-07,36064461064,NA,4583645,NA,1166,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2016,12
"142",142,"나쁜 녀석들: 더 무비",2019-09-11,39560195124,NA,4573902,NA,1511,"Korea","Korea","씨제이이앤엠(주)",2019,9
"143",143,"터미네이터 : 미래전쟁의 시작",2009-05-21,30146162133,NA,4568891,NA,704,"US","US","롯데쇼핑㈜롯데엔터테인먼트",2009,5
"144",144,"맘마미아!",2008-09-03,29570784560,NA,4554785,NA,457,"US","US","유니버설픽쳐스인터내셔널 코리아(유)",2008,9
"145",145,"연가시",2012-07-05,32175400664,NA,4515833,NA,759,"Korea","Korea","씨제이이앤엠(주)",2012,7
"146",146,"아이언맨 2",2010-04-29,33161943100,NA,4498335,NA,757,"US","US","씨제이엔터테인먼트",2010,4
"147",147,"강철비",2017-12-14,35489576466,NA,4452740,NA,1426,"Korea","Korea","(주)넥스트엔터테인먼트월드(NEW)",2017,12
"148",148,"해리포터와 죽음의 성물2",2011-07-13,34507819000,NA,4400298,NA,757,"US","US","워너브러더스 코리아(주)",2011,7
"149",149,"아이언맨",2008-04-30,27802744668,NA,4316003,NA,592,"US","US","씨제이엔터테인먼트",2008,4
"150",150,"엑스맨: 데이즈 오브 퓨처 패스트",2014-05-22,34654558766,NA,4313871,NA,1056,"US","US","이십세기폭스코리아(주)",2014,5
"151",151,"강철중: 공공의 적 1-1",2008-06-19,28465757767,NA,4300670,NA,659,"Korea","Korea","씨제이엔터테인먼트,(주)시네마서비스",2008,6
"152",152,"아가씨",2016-06-01,35211229991,NA,4287839,NA,1171,"Korea","Korea","씨제이이앤엠(주)",2016,6
"153",153,"킹콩",2005-12-14,0,NA,4232430,"S",89,"US","US","UIP코리아",2005,12
"154",154,"어메이징 스파이더맨 2",2014-04-23,34869056800,NA,4168350,NA,1312,"US","US","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2014,4
"155",155,"인디아나 존스 4 : 크리스탈 해골의 왕국",2008-05-22,26693951667,NA,4136101,NA,660,"US","US","씨제이엔터테인먼트",2008,5
"156",156,"용의자",2013-12-24,30037161000,NA,4131248,NA,807,"Korea","Korea","(주)쇼박스",2013,12
"157",157,"건축학개론",2012-03-22,30219800500,NA,4110645,NA,593,"Korea","Korea","롯데쇼핑㈜롯데엔터테인먼트",2012,3
"158",158,"태풍",2005-12-14,0,NA,4094395,"S",115,"Korea","Korea","씨제이엔터테인먼트",2005,12
"159",159,"미이라 3:황제의 무덤",2008-07-30,26222207084,NA,4090795,NA,527,"US","US","유니버설픽쳐스인터내셔널 코리아(유)",2008,7
"160",160,"7급 공무원",2009-04-22,26701311856,NA,4088799,NA,475,"Korea","Korea","롯데쇼핑㈜롯데엔터테인먼트",2009,4
"161",161,"다크 나이트",2008-08-06,27059471306,NA,4087355,NA,462,"US","US","주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",2008,8
"162",162,"색즉시공",2002-12-11,0,NA,4082797,"S",41,"Korea","Korea","(주)쇼박스",2002,12
"163",163,"댄싱퀸",2012-01-18,30129259500,NA,4057546,NA,534,"Korea","Korea","씨제이이앤엠(주)",2012,1
"164",164,"우리 생애 최고의 순간",2008-01-10,26151780425,NA,4044582,NA,418,"Korea","Korea","(주)싸이더스",2008,1
"165",165,"꾼",2017-11-22,31313568795,NA,4018341,NA,1314,"Korea","Korea","(주)쇼박스",2017,11
